"﻿""CODI_CAPA""","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","EQUIPAMENT","ADRECA","TELEFON"
"G010","Serveis religiosos","Mesquites",430329.26399999997,4581498.655,430237.333,4581297.728,2.165686,41.380179,1,1,"Ciutat Vella","el Raval","Centre Islàmic Camí de la Pau - Erasme de Janer","C Erasme de Janer, 9*11","933177123"
"G008","Serveis religiosos","Esglésies catòliques",429163.8,4586801.118,429071.881,4586600.142,2.151128,41.427834000000004,7,42,"Horta-Guinardó","la Clota","Centre Juvenil Martí Codolar-Església","Av Cardenal Vidal Barraquer, 8*12","934072330"
"G008","Serveis religiosos","Esglésies catòliques",432373.799,4582645.936000001,432281.85,4582444.9969999995,2.1900060000000003,41.390687,10,67,"Sant Martí","la Vila Olímpica del Poblenou","Parròquia de Sant Fèlix","C Sardenya, 29","609368880"
"G008","Serveis religiosos","Esglésies catòliques",430533.902,4588484.012,430441.971,4588283.02,2.1673299999999998,41.443111,8,49,"Nou Barris","Canyelles","Parròquia de Sant Narcís","C Antonio Machado, 14","933533881"
"G008","Serveis religiosos","Esglésies catòliques",431324.369,4582865.719,431232.429,4582664.779,2.1774299999999998,41.392577,2,7,"Eixample","la Dreta de l'Eixample","Església  de la Mare de Déu del Roser","C Ausiàs Marc, 54","932463300"
"G008","Serveis religiosos","Esglésies catòliques",431460.57200000004,4581653.1280000005,431368.631,4581452.199,2.1791970000000003,41.381668,1,2,"Ciutat Vella","el Barri Gòtic","Capella de Sant Cristòfol del Regomir","C Regomir, 5",""
"G011","Serveis religiosos","Salons del regne",432214.533,4588111.103,432122.58700000006,4587910.114,2.187488,41.439896000000005,9,60,"Sant Andreu","Sant Andreu","Saló del Regne - Arquímedes","C Arquímedes, 35","933118505"
"G009","Serveis religiosos","Esglésies evangèliques",430779.765,4587277.205,430687.83200000005,4587076.223999999,2.170411,41.432263,8,46,"Nou Barris","el Turó de la Peira","Església Evangèlica Baptista Romanesa","C Montmajor, 15*17",""
"G009","Serveis religiosos","Esglésies evangèliques",431005.23299999995,4585696.848,430913.297,4585495.881,2.17329,41.418048999999996,7,35,"Horta-Guinardó","el Guinardó","Església Evangèlica Carismàtica Episcopal de la Missió Internaiconal d'Àsia (Church of Saint James, the Less)","C Bisbal, 0017 LB",""
"G003","Serveis religiosos","Centres budistes",427118.777,4580653.482,427026.875,4580452.563,2.127397,41.372282,3,17,"Sants-Montjuïc","Sants - Badal","Centre Zen Barcelona","C Bacardí, 10",""
