"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
9059,684,726,185,107,780,338,1224,47,139,"07-03-2021 11:00:04"
9060,620,738,152,121,767,318,1163,47,148,"07-03-2021 11:00:04"
9061,787,856,252,171,870,350,1488,41,114,"07-03-2021 11:00:04"
9062,673,739,240,122,820,230,1210,55,147,"07-03-2021 11:00:04"
9063,564,610,132,100,693,249,1040,50,84,"07-03-2021 11:00:04"
9064,557,607,116,88,658,302,1053,23,88,"07-03-2021 11:00:04"
9065,969,1124,222,192,1156,523,1698,60,335,"07-03-2021 11:00:04"
9066,697,768,178,119,836,332,1289,53,123,"07-03-2021 11:00:04"
9067,691,845,173,118,893,352,1225,54,257,"07-03-2021 11:00:04"
9068,749,805,188,132,866,368,1361,44,149,"07-03-2021 11:00:04"
9069,410,509,107,80,481,251,785,9,125,"07-03-2021 11:00:04"
9070,789,964,190,162,982,419,1330,60,363,"07-03-2021 11:00:04"
9071,887,1046,205,165,1070,493,1530,56,347,"07-03-2021 11:00:04"
9072,681,801,180,118,839,345,1117,72,293,"07-03-2021 11:00:04"
9073,717,796,120,126,859,408,1334,34,145,"07-03-2021 11:00:04"
9074,792,908,213,165,946,376,1443,73,184,"07-03-2021 11:00:04"
9075,767,817,196,146,914,328,1276,49,259,"07-03-2021 11:00:04"
