"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsource","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 47"
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1991-05-22","1991-05-22","1999-01-15","1991-05-23","Aprovada pel Plenari del Consell Municipal de 26-03-1991","","Modifica l'Ordenança sobre utilització dels béns d'ús públic municipal [1971] [http://hdl.handle.net/11703/91650]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 122 (22-05-1991), p. 32","","","http://hdl.handle.net/11703/98740","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91650","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Espais públics | Obres públiques | Public spaces | Public works | Espacios públicos | Obras públicas","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals | documents digitalitzats","Ordenança sobre utilització dels béns d'ús públic municipal [1971] : modificació [1991-03-22]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1971-11-29","1972-04-30","2007-12-31","1972-04-12","Aprovada pel Plenari del Consell Municipal de 29-11-1971","","Modifica l'Ordenança de mercats [1968] [http://hdl.handle.net/11703/96461]","Digitalitzat pel SEDAC","","application/pdf","","application/pdf","","","Boletín Oficial de la Provincia de Barcelona, núm. 88 (12-04-1972), p. 7 | Gaseta Municipal de Barcelona, núm. 12 (30-04-1972), p. 315","","","http://hdl.handle.net/11703/101452","spa","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/96461","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Mercats | Markets | Mercados","Comerç | Legislació i justícia","documents digitalitzats | ordenances municipals","Ordenanzas municipales sobre mercados [1968] : modificació [1971-11-29]","Ordenanza de mercados [1968] : modificació [1971-11-29] | Ordenança de mercats [1968] :  modificació [1970-04-25]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1991-09-27","1991-11-20","1999-01-15","1991-11-20","Aprovada pel Plenari del Consell Municipal de 27-09-1991 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/91619 (ed. 1994), http://hdl.handle.net/11703/97287 (ed. 1991)","Modificada pel Plenari del Consell Municipal de 24-01-1992 [http://hdl.handle.net/11703/97288] | Modificada pel Plenari del Consell Municipal de 03-03-1992 [http://hdl.handle.net/11703/97289] | Modificada pel Plenari del Consell Municipal de 22-07-1997 [http://hdl.handle.net/11703/97293] | Derogada per l'Ordenança de circulació de vianants i de vehicles [1999] [http://hdl.handle.net/11703/89263]","Deroga l'Ordenança de circulació [1971] i les posteriors modificacions | Deroga l'Ordenança municipal del servei de transport escolar i de menors de caràcter urbà [1984]","Digitalitzat pel SEDAC","","application/pdf","7 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm 278, Annex 1 (20-11-1991), p. 56-59 | Publicada també a la Gaseta Municipal de Barcelona, núm. 1 (10-01-1992), p. 2-8","","","http://hdl.handle.net/11703/97287","cat","","http://hdl.handle.net/11703/91619 | http://hdl.handle.net/11703/97287","","","","","","http://hdl.handle.net/11703/89263","","","http://hdl.handle.net/11703/91622 | http://hdl.handle.net/11703/97294","http://hdl.handle.net/11703/97288 | http://hdl.handle.net/11703/97289 | http://hdl.handle.net/11703/97293","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Circulació urbana | Vianants | Urban traffic | Pedestrians | Circulación urbana | Peatones","Legislació i justícia | Transport","ordenances municipals","Ordenança de circulació de vianants i de vehicles [1991]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1975-01-21","1975-11-20","1983-10-17","1975-11-12","Aprovada pel Plenari del Consell Municipal de 21-01-1975 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96474 (ed. 1978 en castellà)","Derogada per l'Ordenança de la neteja [1983] [http://hdl.handle.net/11703/91655]","","Digitalitzat pel SEDAC","","application/pdf","2 p.","application/pdf","","","Gaseta Municipal de Barcelona, núm. 32 (20-11-1975), p. 744-745","","","http://hdl.handle.net/11703/100104","spa","","http://hdl.handle.net/11703/96474","","","","","","http://hdl.handle.net/11703/91655","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Residus | Contenidors | Waste products | Container cargo | Residuos | Contenedores","Legislació i justícia | Medi ambient","documents digitalitzats | ordenances municipals","Ordenanza sobre instalación de contenedores en la via pública [1974]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1962-11-08","1963-11-30","1990-06-06","1963-04-23","Aprovada pel Plenari del Consell Municipal de 08-11-1962 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96474 (ed. 1978 en castellà)","Articles 19-25 derogats per l'Ordenança sobre estacionament regulat [1990] [http://hdl.handle.net/11703/91643] | Articles 1-18, 26 i següents derogats per l'Ordenança sobre llicències d'accés de vehicles als locals (guals) [1990] [http://hdl.handle.net/11703/91647]","","Digitalitzat pel SEDAC","","application/pdf","5 p.","application/pdf","","","Boletín Oficial de la Provincia de Barcelona, núm. 97 (23-04-1963), p. 9 | Gaceta Municipal de Barcelona, núm 5 (30-11-1963), p. 570-572","","","http://hdl.handle.net/11703/100485","spa","","http://hdl.handle.net/11703/96474","","","","Reproducció digital del document en suport original","","","","","","http://hdl.handle.net/11703/91647 | http://hdl.handle.net/11703/91643 | http://hdl.handle.net/11703/100996","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Aparcaments | Automòbils | Parking garages | Automobiles | Aparcamiento | Automóviles","Legislació i justícia | Transport","documents digitalitzats | ordenances municipals","Ordenanza sobre vados [1962]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1981-03-20","1982-04-30","1986-04-04","1982-03-28","Aprovada pel Plenari del Consell Municipal de 20-03-1981","Derogada per l'Ordenança de cementiris [1985] [http://hdl.handle.net/11703/97239]","","Digitalitzat pel SEDAC","","application/pdf","","application/pdf","10010","","Boletín Oficial de la Provincia de Barcelona, núm. 74 (27-03-1982), p. 8 | Gaseta Municipal de Barcelona, núm. 12 (30-04-1982), p. 237-238","","","http://hdl.handle.net/11703/91610","cat","","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/97239","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Cementiris | Cremació | Cemeteries | Cremation | Cementerios | Cremación","Legislació i justícia | Societat i benestar","ordenances municipals | documents digitalitzats","Ordenança reguladora del Servei d'incineració de cadàvers i despulles humanes [1981]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1969-02-26","1969-08-28","1978-07-19","1969-08-25","Aprovada pel Plenari del Consell Municipal de 26-02-1969 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96487 (ed. 1984 en català) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96486 (ed. 1984 en castellà) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96485 (ed. 1971 en castellà)","Derogada per art. 155 i següents de les Ordenances metropolitanes d'edificació","Deroga els art. 980-1030 de les Ordenanzas municipales [1966] [http://hdl.handle.net/11703/96474] | Deroga l'art. 99 de les Ordenanzas municipales de edificación [1958] [http://hdl.handle.net/11703/96484]","Digitalitzat pel SEDAC","","application/pdf","3 p.","application/pdf","6711","","Boletín Oficial de la Provincia de Barcelona, núm. 203 (28-08-1969), p. 3 | Gaseta Municipal de Barcelona, núm. 26 (20-09-1969), p. 598-600","","","http://hdl.handle.net/11703/91606","spa","","http://hdl.handle.net/11703/96487 | http://hdl.handle.net/11703/96486 | http://hdl.handle.net/11703/96485","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/96474 | http://hdl.handle.net/11703/96484","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Ascensors | Elevators | Ascensores","Legislació i justícia | Indústria","ordenances municipals | documents digitalitzats","Ordenanza sobre aparatos elevadores [1969]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1987-09-05","1987-12-01","1999-01-15","1987-12-01","Aprovada pel Plenari del Consell Municipal de 05-09-1987 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/99029 (ed. 1993)","Derogada per l'Ordenança sobre l'ús de les vies i els espais públics de Barcelona [1999] [http://hdl.handle.net/11703/89244]","Deroga els articles 44-47 i 82-87 de l'Ordenança de policia de la via pública [1964] [http://hdl.handle.net/11703/100459] | Deroga els articles 8 (apartats a, c, i n), 30 (epígrafs 2, apartats d i e), 3 (apartat e) i els art. 13-16 de l'Ordenança sobre la utilització dels béns d'ús públic municipal [1971] [http://hdl.handle.net/11703/91650] | Deroga l'art. 5 de l'Ordenança sobre l'ocupació de les voreres al passeig de Gràcia per a instal·lacions particulars [1975] [http://hdl.handle.net/11703/91615]","Digitalitzat pel SEDAC","","application/pdf","3 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm 287 (01-12-1987), p. 18-20 | Publicada també a: Gaseta Municipal de Barcelona núm. 32 (20-12-1987), p. 861","","","http://hdl.handle.net/11703/91616","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/99029","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/89244","http://hdl.handle.net/11703/100459 | http://hdl.handle.net/11703/91650 | http://hdl.handle.net/11703/91615","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Espais públics | Comerç | Public spaces | Commerce | Espacios públicos | Comercio","Legislació i justícia | Comerç","ordenances municipals | documents digitalitzats","Normes reguladores de les activitats desenvolupades a la via pública [1987]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","1997-10-24","1997-12-31","","1998-01-01","Aprovada pel Plenari del Consell Municipal de 24-10-1997 | Modificada pel Plenari del Consell Municipal de 24-06-2000 | Modificada pel Plenari del Consell Municipal de 20-07-2001 | Deroga l'Ordenança de cementiris [1985] | Mencionada a una nota de premsa sobre el desnonament de sepultures. Versió en català [http://hdl.handle.net/11703/102815] i versió en castellà [http://hdl.handle.net/11703/102816]","Modificada pel Plenari del Consell Municipal de 24-06-2000[http://hdl.handle.net/11703/89261] | Modificada pel Plenari del Consell Municipal de 20-07-2001 [http://hdl.handle.net/11703/89262] | Derogada per l'Ordenança de cementiris [2017] [http://hdl.handle.net/11703/106500]","Deroga l'Ordenança de cementiris [1985] [http://hdl.handle.net/11703/97239] | Substitueix el Reglament dels mausoleus [1990] [http://hdl.handle.net/11703/107109]","Digitalitzat pel SEDAC","","application/pdf","9 p.","application/pdf","14145 | 14172","","Butlletí Oficial de la Província de Barcelona, núm. 313, Annex IV (31-12-1997), p. 5-13 | Correccions d'errades: Butlletí Oficial de la Província de Barcelona, núm. 79 (02-04-1998), p. 7","","","http://hdl.handle.net/11703/86847","cat","","","","","","Reproducció digital del document en suport original","http://hdl.handle.net/11703/102815 | http://hdl.handle.net/11703/102816","http://hdl.handle.net/11703/106500","","","http://hdl.handle.net/11703/97239","http://hdl.handle.net/11703/89261 | http://hdl.handle.net/11703/89262","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Cementiris | Cemeteries | Cementerios","Legislació i justícia | Societat i benestar","ordenances municipals","Ordenança de cementiris [1997]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1968-02-02","1968","","1968-12-14","Aprovat pel Consell municipal de 02-02-1968","","","","","application/pdf","8 p.","application/pdf","3182","","","","","http://hdl.handle.net/11703/111847","spa","","","","","","Reproducció digital del document en suport original","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Garatges | Gasolineres | Garages | Service stations | Garajes | Estaciones de servicio","Transport","ordenances municipals | documents digitalitzats","Ordenanzas sobre garages, garages-aparcamientos y estaciones de servicio [1968]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1980-05-14","1980-05-20","","1980-05-03","Aprovada pel Plenari del Consell Municipal de 14-03-1980 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/101006 (ed. 1984 en català i castellà)","","Modifica les Ordenanzas generales [1947] [http://hdl.handle.net/11703/96474] | Modifica l'Ordenanza sobre vados [1962] [http://hdl.handle.net/11703/100485] | Modifica l'Ordenanza de policia de abastos sobre panaderias [1963] [http://hdl.handle.net/11703/100494] | Modifica l'Ordenanza de policia de la via pública [1964] [http://hdl.handle.net/11703/100459] | Modifica l'Ordenanza de calas y canalizaciones [1964] [http://hdl.handle.net/11703/100447] | Modifica l'Ordenanza de mercados [1968][http://hdl.handle.net/11703/96461] | Modifica l'Ordenanza  sobre utilización de los bienes de uso público municipal [1971] [http://hdl.handle.net/11703/91650] | Modifica l'Ordenanza sobre instalación de contenedores en la via pública [1974] [http://hdl.handle.net/11703/100104] | Modifica l'Ordenanza sobre transporte y vertido de tierras [1968] | Modifica l'Ordenanza sobre normas de carácter general relativas a instalaciones industriales [1966] [http://hdl.handle.net/11703/99622]","Digitalitzat pel SEDAC","","application/pdf","4 p.","application/pdf","","","Boletín Oficial de la Provincia de Barcelona, núm. 106 (02-05-1980), p. 5-6 | Gaseta Municipal de Barcelona, núm. 14 (20-05-1980), p. 310-313","","","http://hdl.handle.net/11703/100996","spa","","http://hdl.handle.net/11703/101006","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/96474 | http://hdl.handle.net/11703/100485 | http://hdl.handle.net/11703/100494 | http://hdl.handle.net/11703/100459 | http://hdl.handle.net/11703/100447 | http://hdl.handle.net/11703/96461 | http://hdl.handle.net/11703/100104 | http://hdl.handle.net/11703/99622 | http://hdl.handle.net/11703/91650","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Multes | Sancions administratives | Fines (Penalties) | Administrative sanctions | Multa | Sanciones administrativas","Legislació i justícia","documents digitalitzats | ordenances municipals","Modificación de los articulos de las ordenanzas municipales que regulan la imposición de multas para adaptarlos a lo dispuesto en el Real Decreto-ley 11/79, de 20 de julio","Ordenanzas generales [1947]: modificació [1980-03-14] | Ordenanza sobre vados [1962]: modificació [1980-03-14] | Ordenanza de policía de abastos sobre panaderías [1963]: modificació [1980-03-14] | Ordenanza de policía de la vía pública [1964]: modificació [1980-03-14] | Ordenanza de calas y canalizaciones [1964]: modificació [1980-03-14] | Ordenanza sobre normas de carácter general relativas a instalaciones industriales[1966]: modificació [1980-03-14] | Ordenanza de mercados [1968]: modificació [1980-03-14] | Ordenanza sobre transporte y vertido de tierras [1968]: modificació [1980-03-14] | Ordenanza  sobre utilización de los bienes de uso público municipal [1971]: modificació [1980-03-14] | Ordenanza sobre utilización de los bienes de uso público municipal [1971]: modificació [1980-03-14] | Ordenanza sobre instalación de contenedores en la vía pública [1974]: modificació [1980-03-14]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
