"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 45"
"Institut Municipal de Serveis Socials (Barcelona)","","","Si","2009-10-02","2009-10-26","","","Aprovats pel Plenari del Consell Municipal de 02-10-2009","Modificats pels Estatuts de l'Institut Municipal de Serveis Socials de Barcelona [2009] : modificació [2010-07-13] [http://hdl.handle.net/11703/88591] | Modificats pels Estatuts de l'Institut Municipal de Serveis Socials de Barcelona [2009] : modificació [2019-03-29] [http://hdl.handle.net/11703/114174]","","","","application/pdf","5 p.","application/pdf","5841","","Butlletí Oficial de la Província de Barcelona, núm. 256 (26-10-2009) | Publicat també al Diari Oficial de la Generalitat de Catalunya, núm. 5492 (27-10-1997), p. 80099-80109","organismes autònoms","http://hdl.handle.net/11703/88590","cat","","","","","","http://hdl.handle.net/11703/88073","","","","http://hdl.handle.net/11703/88591 | http://hdl.handle.net/11703/114174","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Institut Municipal de Serveis Socials (Barcelona) | Institut Municipal de Serveis Socials (Barcelona) | Institut Municipal de Serveis Socials (Barcelona)","Sector públic","estatuts","","Estatuts de l'Institut Municipal de Serveis Socials de Barcelona [2009]","","text","info:eu-repo/semantics/other",""
"Consorci del Parc de Collserola (Catalunya)","","","No","2000","2000","","","","Substituït pels Estatuts del Consorci del Parc de Collserola [2009 text no oficial] [http://hdl.handle.net/11703/106129]","","","","application/pdf","12 p.","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106131","cat","","","","","","","http://hdl.handle.net/11703/106129","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consorci del Parc de Collserola (Catalunya)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Parc de Collserola (Catalunya) | Consorci del Parc de Collserola (Catalunya) | Consorci del Parc de Collserola (Catalunya)","Sector públic","estatuts","","Estatuts del Consorci del Parc de Collserola [2000 text no oficial]","","text","info:eu-repo/semantics/other",""
"Agència d'Ecologia Urbana de Barcelona","","","Si","2015-02-27","2015-03-23","","2015-03-24","Aprovats pel Plenari del Consell Municipal de 27-02-2015","","Substitueix els Estatuts de l'Agència d'Ecologia Urbana de Barcelona [2013 text refós] [http://hdl.handle.net/11703/88518]","","","application/pdf","2 documents","application/pdf","18345","","Butlletí Oficial de la Província de Barcelona (23-03-2015)","consorcis","http://hdl.handle.net/11703/85201","cat","","","","","","","","","http://hdl.handle.net/11703/88518","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Agència d'Ecologia Urbana de Barcelona | Agència d'Ecologia Urbana de Barcelona | Agència d'Ecologia Urbana de Barcelona","Sector públic","estatuts | acords","","Estatuts de l'Agència d'Ecologia Urbana de Barcelona [2015 text refós]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Barcelona Activa, S.A.","","","No","2011","2011","","","","Substituït pels Estatuts de l'any 2016 [http://hdl.handle.net/11703/97970]","Substitueix els Estatuts de Barcelona Activa [1992 text no oficial] [http://hdl.handle.net/11703/85250]","","","application/pdf","8 p.","application/pdf","17391","","","societats mercantils","http://hdl.handle.net/11703/97475","cat","","","","","","","http://hdl.handle.net/11703/97970","","http://hdl.handle.net/11703/85250","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l’àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","","","Barcelona Activa, S.A. | Barcelona Activa, S.A. | Barcelona Activa, S.A.","Sector públic","estatuts","","Estatuts de Barcelona Activa [2011 text no oficial]","","text","info:eu-repo/semantics/other",""
"Consorci de la Zona Franca de Barcelona","","","Si","1968-07-01","1968-07-30","","25050","Aprovats per ordre del Ministerio de Hacienda de 01-07-1968 | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/88550","","","","","application/pdf","9 p.","application/pdf","","","Boletín Oficial del Estado, núm. 182 (30-07-1968)","consorcis","http://hdl.handle.net/11703/106200","spa","","http://hdl.handle.net/11703/88550","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci de la Zona Franca de Barcelona | Consorci de la Zona Franca de Barcelona | Consorci de la Zona Franca de Barcelona","Sector públic","estatuts","","Estatutos del Consorcio de la Zona Franca de Barcelona [1968]","","text","info:eu-repo/semantics/other",""
"Associació Internacional de Ciutats Educadores (Barcelona)","","","Si","2007","2007","","2007","Podeu consultar la versió en anglès a:  http://hdl.handle.net/11703/86368 | Podeu consultar la versió en francès a: http://hdl.handle.net/11703/86365","","Substitueix els Estatutos de la Asociación Internacional de Ciudades Educadoras [1993 text no oficial] http://hdl.handle.net/11703/106400]","","","application/pdf","15 p.","application/pdf","","","","associacions","http://hdl.handle.net/11703/86364","spa","","http://hdl.handle.net/11703/86368 | http://hdl.handle.net/11703/86365","","","","","","","http://hdl.handle.net/11703/106400","","CC-BY","info:eu-repo/semantics/openAccess","","Associació Internacional de Ciutats Educadores (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Associació Internacional de Ciutats Educadores (Barcelona) | Associació Internacional de Ciutats Educadores (Barcelona) | Associació Internacional de Ciutats Educadores (Barcelona)","Educació | Sector públic","estatuts","","Estatutos de la Asociación Internacional de Ciudades Educadoras [2007 text no oficial]","","text","info:eu-repo/semantics/other",""
"Consorci del Barri de la Mina (Barcelona)","","","No","2002-12-03","2003-05-14","2008-01-29","2003-05-15","Aprovats per acord de Govern de la Generalitat de 03-12-2002","Substituït pels Estatuts del Consorci del Barri de la Mina [2008] [http://hdl.handle.net/11703/88563]","","","","application/pdf","3 p.","application/pdf","","","Diari Oficial de la Generalitat de Catalunya, núm. 3883 (14-05-2003)","consorcis","http://hdl.handle.net/11703/106116","cat","","","","","","","http://hdl.handle.net/11703/88563","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci del Barri de la Mina (Barcelona) | Consorci del Barri de la Mina (Barcelona) | Consorci del Barri de la Mina (Barcelona)","Sector públic","estatuts","","Estatuts del Consorci del Barri de la Mina [2002 text refós]","","text","info:eu-repo/semantics/other",""
"Tractament i Selecció de Residus, S.A. (TERSA)","","","No","2008-04-10","2008","","","Acta notarial, 10 d'abril de 2008, dóna fe el notari Marco Antonio Alonso Hevia","Substituït pels Estatuts de Tractament i Selecció de Residus, S.A. (TERSA) [2016 text refós no oficial] [http://hdl.handle.net/11703/106440]","Substitueix els Estatuts de TERSA (Tractament i Selecció de Residus, S.A.) [1992 text refós no oficial] [http://hdl.handle.net/11703/106568]","Digitalitzat per Tractament i Selecció de Residus, S.A.","","application/pdf","14 p.","application/pdf","","Núm. 1022","","societats mercantils","http://hdl.handle.net/11703/85337","cat","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106440","http://hdl.handle.net/11703/106568","","","CC-BY","info:eu-repo/semantics/openAccess","","Tractament i Selecció de Residus, S.A. (TERSA)","http://creativecommons.org/licenses/by/4.0/deed.ca","Tractament i Selecció de Residus, S.A. (TERSA) | Tractament i Selecció de Residus, S.A. (TERSA) | Tractament i Selecció de Residus, S.A. (TERSA)","Medi ambient","estatuts | documents digitalitzats","","Estatuts de Tractament i Selecció de Residus, S.A. (TERSA) [2008 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Institut Municipal d'Urbanisme (Barcelona)","","","No","2005-10-14","2005","","","Aprovats pel Plenari del Consell Municipal de 14-10-2005 | Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/85200","Substituït pels Estatuts de l'Institut Municipal d'Urbanisme de Barcelona [2017 text no oficial]","","","","application/pdf","15 p.","application/pdf","","","","organismes autònoms | entitats públiques empresarials","http://hdl.handle.net/11703/106543","cat","","http://hdl.handle.net/11703/85200","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Institut Municipal d'Urbanisme (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal d'Urbanisme (Barcelona) | Institut Municipal d'Urbanisme (Barcelona) | Institut Municipal d'Urbanisme (Barcelona)","Sector públic","estatuts","","Estatuts de l'Institut Municipal d'Urbanisme [2005 text no oficial]","","text","info:eu-repo/semantics/other",""
"Fundació Privada Creafutur","","","Si","2011-06-21","2011","","","Aprovats pel Patronat de la Fundació el 21-06-2011 | Acta notarial, 21 de juny de 2011, dóna fe el notari Don Ricardo Ferrer Marsal","","","","","application/pdf","18 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106327","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Privada Creafutur","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada Creafutur | Fundació Privada Creafutur","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Privada Creafutur [2011 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci Mercat de les Flors","","","Si","2015-04-07","2015","","","Aprovats per acord de Govern de la Generalitat de 07-04-2015 | Podeu consultar la versió publicada al Diari Oficial de la Generalitat de Catalunya a: http://hdl.handle.net/11703/88584","","Substitueix els Estatuts del Consorci Mercat de les Flors/Centre de les Arts de Moviment [2006 text no oficial] [http://hdl.handle.net/11703/106201]","","","application/pdf","14 p.","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106096","cat","","http://hdl.handle.net/11703/88584","","","Reproducció digital del document en suport original","","","","http://hdl.handle.net/11703/106201","","CC-BY","info:eu-repo/semantics/openAccess","","Consorci Mercat de les Flors","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Mercat de les Flors | Consorci Mercat de les Flors | Consorci Mercat de les Flors","Sector públic","estatuts | documents digitalitzats","","Estatuts del Consorci Mercat de les Flors [2015 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Informació i Comunicació de Barcelona, S.A.","","","No","2004-10-29","2004-10-29","","","Acta notarial, 29 d'octubre de 2004, dóna fe el notari Don Bartolomé Masoliver Rodenas","Modificats pel Plenari del Consell Municipal de 14-10-2005 [http://hdl.handle.net/11703/99784] | Modificats pel Plenari del Consell Municipal de 30-05-2008 [http://hdl.handle.net/11703/99785] | Modificats pel Plenari del Consell Municipal de 25-07-2014 [http://hdl.handle.net/11703/84908] | Modificats pel Plenari del Consell Municipal de 23-12-2016 [http://hdl.handle.net/11703/99764] | Substituïts per els Estatuts d'Informació i Comunicació de Barcelona [2016 text refós no oficial] http://hdl.handle.net/11703/112412 | Modificats pel Plenari del Consell Municipal de 29-03-2019 [http://hdl.handle.net/11703/114184]","Substitueix els Estatuts d'Informació i Comunicació de Barcelona [1995] [http://hdl.handle.net/11703/85285]","","","application/pdf","10 p.","application/pdf","","","","entitats públiques empresarials | societats mercantils","http://hdl.handle.net/11703/106456","cat","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/112412","","http://hdl.handle.net/11703/85285","http://hdl.handle.net/11703/99784 | http://hdl.handle.net/11703/99785 | http://hdl.handle.net/11703/84908 | http://hdl.handle.net/11703/99764 | http://hdl.handle.net/11703/114184","CC-BY","info:eu-repo/semantics/openAccess","","Informació i Comunicació de Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Informació i Comunicació de Barcelona, S.A. | Informació i Comunicació de Barcelona, S.A. | Informació i Comunicació de Barcelona, S.A.","Sector públic","estatuts | documents digitalitzats","","Estatuts d'Informació i Comunicació de Barcelona [2004 text refós]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundación Consejo España-India","","","Si","2009","2009","","","Acta notarial, 2009, dóna fe el notari Don Luis Marazuela Carrascosa | Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/89195","","","","","application/pdf","19 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106324","spa","","http://hdl.handle.net/11703/89195","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundación Consejo España-India","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundación Consejo España-India | Fundación Consejo España-India | Fundación Consejo España-India","Sector públic","estatuts | documents digitalitzats","","Estatutos de la Fundación Consejo España-India [2009 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Institut Municipal d'Assistència Sanitària (Barcelona)","","","Si","2006-07-05","2006-12-11","","","Aprovada per la Comissió Permanent del Consorci Sanitari de Barcelona de 05-07-2006 | L’Institut Municipal d'Assistència Sanitària (Barcelona) és un organisme autònom, creat el 18 de març de 1983 per l’Ajuntament de Barcelona i adscrit al Consorci Sanitari de Barcelona","","Modifica els Estatuts de l'Institut Municipal d'Assistència Sanitària (IMAS) [2002 text refós] [http://hdl.handle.net/11703/106455]","","","application/pdf","2 p.","application/pdf","17412","","Diari Oficial de la Generalitat de Catalunya, núm. 4777 (11/12/2006)","consorcis","http://hdl.handle.net/11703/89189","cat","","","","","","","","http://hdl.handle.net/11703/106455","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Institut Municipal d'Assistència Sanitària (Barcelona) | Assistència mèdica | Institut Municipal d'Assistència Sanitària (Barcelona) | Medical care | Institut Municipal d'Assistència Sanitària (Barcelona) | Asistencia sanitaria","Sector públic | Salut","estatuts","","Estatuts de l'Institut Municipal d'Assistència Sanitària (IMAS) [2002 text refós] : modificació [2006-07-05]","","text","info:eu-repo/semantics/other",""
