"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisformatof","dcrelationispartof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 45"
"Anual","Oberta","Fira Internacional de Barcelona","","Barcelona","2012","No","2013","2013","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/98321. Podeu consultar la versió en català a: http://hdl.handle.net/11703/98321","","","application/pdf","122 p.","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/98323","cas","","http://hdl.handle.net/11703/98321","","","","","","","","","","","","CC-BY","openAccess","Fira Internacional de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Comerç","memòries","","Memoria 2012","","text",""
"Anual","Oberta","Pla Estratègic Barcelona 2000. Associació","","Barcelona","2006","No","2007","2007","","","","","application/pdf","","3301","","","Mandat 2003-2007","http://hdl.handle.net/11703/87548","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Pla Estratègic Barcelona 2000. Associació","http://creativecommons.org/licenses/by/4.0/deed.ca","Pla Estratègic Barcelona 2000. Associació. Finances","Economia","memòries","Pla Estratègic Barcelona 2000","Memòria estratègica de l'associació Pla Estratègic Metropolità de Barcelona 2006","","text",""
"Anual","Oberta","Autoritat del Transport Metropolità","","Barcelona","2008","No","2009","2009","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/88101. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/88112","","","application/pdf","","18529","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/88087","cas","Autoritat del Transport Metropolità","http://hdl.handle.net/11703/88101. http://hdl.handle.net/11703/88112","","","","","","","","","","","","CC-BY","openAccess","Autoritat del Transport Metropolità","http://creativecommons.org/licenses/by/4.0/deed.ca","Autoritat del Transport Metropolità. Mobilitat urbana. Transport urbà","Transport","memòries","","Memoria 2008","","text",""
"Anual","Oberta","Consorci per a la Normalització Lingüística","","Barcelona","2007","No","2008","2008","","","","","application/pdf","","3339","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/87654","cat","Consorci per a la Normalització Lingüística de Catalunya","","","","","","","","","","","","","CC-BY","openAccess","Consorci per a la Normalització Lingüística","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci per a la Normalització Lingüística. Cultura","Cultura i oci","memòries","","Memòria 2007","","text",""
"Anual","Oberta","Institut de Cultura de Barcelona","","Barcelona","2010","No","2011","2011","","","","","application/pdf","","8929","","entitats públiques empresarials","Mandat 2007-2011","http://hdl.handle.net/11703/88055","cas","Institut de Cultura de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Institut de Cultura de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut de Cultura de Barcelona. Cultura","Cultura i oci","memòries","","Balance 2010","","text",""
"Anual","Oberta","Consell Econòmic i Social de Barcelona","","Barcelona","2007","No","2008","2008","","","","","application/pdf","","1763","","consells","Mandat 2003-2007","http://hdl.handle.net/11703/89445","cat","Consell Econòmic i Social de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Econòmic i Social de Barcelona. Economia. Finances","Economia","memòries","","Memòria socioeconòmica de Barcelona 2007","","text",""
"Anual","Oberta","Fira Internacional de Barcelona","","Barcelona","2016","Si","2017","2017","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/105654","","","application/pdf","116 p.","","","consorcis","Mandat 2015-","http://hdl.handle.net/11703/105655","cas","","","","","","","","","","","","","","CC-BY","openAccess","Fira de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fira Internacional de Barcelona","Comerç","memòries","","Memoria 2016","","text",""
"","","Districte 6. Gràcia. Ajuntament de Barcelona","","Barcelona. Districte 6. Gràcia","2004. 2005. 2006. 2007","","2007-03","2007-03","","","","","application/pdf","13 p.","2115","","districtes","","http://hdl.handle.net/11703/89236","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Espais públics. Mobilitat urbana. Desenvolupament urbà sostenible. Política de l'habitatge. Política econòmica","Sector públic","memòries","Programa d'Actuació del Districte de Gràcia (PAD) 2004-2007 (Barcelona)","Balanç del Pla d'Actuació del Districte de Gràcia 2004-2007","","text",""
"Anual","Tancada","ACEFAT","","Barcelona","2012","No","2013","2013","","","","","application/pdf","","12458","","entitats públiques empresarials","Mandat 2011-2015","http://hdl.handle.net/11703/87463","cas","ACEFAT","","","","","","","","","","","","","CC-BY","openAccess","ACEFAT","http://creativecommons.org/licenses/by/4.0/deed.ca","ACEFAT. Habitatge. Construcció","Urbanisme i infraestructures","memòries","","Memoria de sostenibilidad 2012","","text",""
"Anual","","Arxiu Municipal de Barcelona","","Barcelona. Barcelona. Districte 1. Ciutat Vella. Barcelona. Districte 2. Eixample. Barcelona. Districte 3. Sants-Montjuïc. Barcelona. Districte 4. Les Corts. Barcelona. Districte 5. Sarrià-Sant Gervasi. Barcelona. Districte 6. Gràcia. Barcelona. Districte 7. Horta-Guinardó. Barcelona. Districte 8. Nou Barris. Barcelona. Districte 9. Sant Andreu. Barcelona. Districte 10. Sant Martí","2004","No","2005-11-15","2005","","","","","application/pdf","177 p.","16373","","","Mandat 2003-2007","http://hdl.handle.net/11703/87442","cat","Arxiu Municipal de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arxiu Municipal de Barcelona. Arxius","Sector públic","memòries","","Memòria 2004","","text",""
"Anual","Oberta","Guàrdia Urbana","","Barcelona","2011","No","2012","2012","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87793. Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/87801","","","application/pdf","","18051","","","Mandat 2011-2015","http://hdl.handle.net/11703/87797","eng","Ajuntament de Barcelona","http://hdl.handle.net/11703/87793. http://hdl.handle.net/11703/87801","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Policia local","Seguretat","memòries","","Guardia Urbana de Barcelona: Activity report 2011","","text",""
"Anual","Oberta","Fundació BCN Formació Professional","","Barcelona","2007","No","2008","2008","","","","","application/pdf","","18117","","fundacions","Mandat 2007-2011","http://hdl.handle.net/11703/87471","cat. eng","Fundació BCN Formació Professional. Formació professional","","","","","","","","","","","","","CC-BY","openAccess","Fundació BCN Formació Professional. Formació professional","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació BCN Formació Professional. Formació professional","Educació","memòries","","Informe anual 2007 = Annual report 2007","","text",""
"Anual","Oberta","Consorci de l'Habitatge de Barcelona","","Barcelona","2013","No","2014","2014","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87697","","","application/pdf","","13926","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/87729","cat","Consorci de l'Habitatge de Barcelona","http://hdl.handle.net/11703/87697","","","","","","","","","","","","CC-BY","openAccess","Consorci de l'Habitatge de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de l'Habitatge de Barcelona. Habitatge","Habitatge","memòries","","Memòria 2013","","text",""
"Anual","Oberta","Consorci Sanitari de Barcelona","","Barcelona","2000","No","2001","2001","","","","","application/pdf","","3270","","consorcis","Mandat 1999-2003","http://hdl.handle.net/11703/87620","cat","","","","","","","","","","","","","","CC-BY","openAccess","Consorci Sanitari de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Sanitari de Barcelona. Salut pública. Serveis sanitaris","Salut","memòries","","Memòria d'activitat 2000: la xarxa sanitària d'utilització pública","","text",""
"Anual","Oberta","Servei de Prevenció, Extinció d'Incendis i Salvament","","Barcelona","2007","No","2008","2008","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/89508","","","application/pdf","","2185","","","Mandat 2003-2007","http://hdl.handle.net/11703/89532","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/89508","","","","","","","","","","","","CC-BY","openAccess","Servei de Prevenció, Extinció d'Incendis i Salvament","http://creativecommons.org/licenses/by/4.0/deed.ca","Servei de Prevenció, Extinció d'Incendis i Salvament. Bombers","Seguretat","memòries","","Memòria 2007","","text",""
"Anual","Oberta","Consorci de Biblioteques de Barcelona","","Barcelona","2004","No","2005","2005","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87684. Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/87685","","","application/pdf","","4273","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/87686","eng","Consorci de Biblioteques de Barcelona","http://hdl.handle.net/11703/87684. http://hdl.handle.net/11703/87685","","","","","","","","http://hdl.handle.net/11703/89496","","","","CC-BY","openAccess","Consorci de Biblioteques de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de Biblioteques de Barcelona","Cultura i oci","memòries","","Executive report 2004","","text",""
"Anual","Oberta","Pla Estratègic Barcelona 2000. Associació","","Barcelona","2014","Si","2015","2015","","","","","application/pdf","","18576","","","Mandat 2011-2015","http://hdl.handle.net/11703/87556","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Pla Estratègic Barcelona 2000. Associació","http://creativecommons.org/licenses/by/4.0/deed.ca","Pla Estratègic Barcelona 2000. Associació. Finances","Economia","memòries","Pla Estratègic Barcelona 2000","Memòria d'activitats 2014 de l'associació Pla Estratègic Metropolità de Barcelona","","text",""
"Anual","Oberta","Consorci de la Zona Franca de Barcelona","","Barcelona","2012","No","2013","2013","","Podeu consultar la versió en anglès/francès a: http://hdl.handle.net/11703/87672","","","application/pdf","","18566","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/88127","cat. cas","Consorci de la Zona Franca de Barcelona","http://hdl.handle.net/11703/87672","","","","","","","","","","","","CC-BY","openAccess","Consorci de la Zona Franca de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de la Zona Franca de Barcelona. Empreses. Desenvolupament econòmic. Finances","Indústria","memòries","","Memòria 2012","","text",""
"Anual","Oberta","Servei de Prevenció, Extinció d'Incendis i Salvament","","Barcelona","2012","No","2013","2013","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87832. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/87837","","","application/pdf","","17167","","","Mandat 2011-2015","http://hdl.handle.net/11703/87777","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/87832. http://hdl.handle.net/11703/87837","","","","","","","","","","","","CC-BY","openAccess","Servei de Prevenció, Extinció d'Incendis i Salvament","http://creativecommons.org/licenses/by/4.0/deed.ca","Servei de Prevenció, Extinció d'Incendis i Salvament. Bombers","Seguretat","memòries","","Memoria 2012","","text",""
"Anual","Tancada","Sector de Serveis Personals. Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts","2006","No","2007","2007","","","","","application/pdf","","SSPPD2006_LC","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/89550","cat","Districte 4. Les Corts","","","","","","","","","","","","","CC-BY","openAccess","Districte 4. Les Corts","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 4. Les Corts","Sector públic","memòries","","Memòria 2006","","text",""
"Anual","Tancada","Institut Municipal d'Assistència Sanitària (Barcelona)","","Barcelona","2006","No","2007","2007","","","","","application/pdf","","2664","","organismes autònoms","Mandat 2003-2007","http://hdl.handle.net/11703/88016","cat","Institut Municipal d'Assistència Sanitària (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Institut Municipal d'Assistència Sanitària (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal d'Assistència Sanitària (Barcelona). Salut pública","Salut","memòries","","Memòria tècnica 2006","","text",""
"Anual","Oberta","Consell Municipal de Benestar Social (Barcelona)","","Barcelona","2008","No","2009","2009","","","","","application/pdf","","CESB_ACT_2008","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/89488","cat","Consell Municipal de Benestar Social (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consell Municipal de Benestar Social (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona). Benestar social. Serveis socials. Assistència social","Sector públic. Societat i benestar","memòries","","Memòria d’activitats 2008","","text",""
"Anual","Obert","CENIT, Centre d'Innovació del Transport","","Barcelona","2014. 2015. 2016. 2017","Si","2013","2013","","","","","application/pdf","22 p.","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/106602","cat","","","","","","","","","","","","","","CC-BY","openAccess","CENIT, Centre d'Innovació del Transport","http://creativecommons.org/licenses/by/4.0/deed.ca","CENIT, Centre d'Innovació del Transport. Transport","Transport","memòries","","Memòria 2014-2017","","text",""
"Anual","Oberta","Barcelona Activa, S.A.","","Barcelona","2000","No","2001","2001","","","","","application/pdf","","440","","societats mercantils","Mandat 1999-2003","http://hdl.handle.net/11703/89582","cat","","","","","","","","","","","","","","CC-BY","openAccess","Barcelona Activa, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona Activa, S.A.. Desenvolupament econòmic. Serveis municipals","Economia. Ocupació","memòries","","Memòria d'activitats 2000","","text",""
