"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 49"
"","","Institut Barcelona Esports","","Barcelona | Barcelona | Barcelona","2018 | 2019","No","2018-09-07","2018-09-12","","2018-09-13","Aprovada per resolució de la presidència de l'Institut Barcelona Esports de 07-09-2018 | Requereix les Bases aprovades per resolució de la presidència de l'Institut Barcelona Esports de 15-07-2016 [http://hdl.handle.net/11703/110988]","Modificada per resolució de la presidència de l'Institut Barcelona Esports de 20-11-2018 [http://hdl.handle.net/11703/111600]","","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (12-09-2018) | Correccions d’errades: Butlletí Oficial de la Província de Barcelona (19-09-2018)","organismes autònoms","","http://hdl.handle.net/11703/110989","cat","","","","","","","","","","","http://hdl.handle.net/11703/111600 | http://hdl.handle.net/11703/110988","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Infants | Adolescents | Activitats extraescolars | Esports | Deportes | Children | Teenagers | Student activities | Sports | Niños | Adolescentes | Actividades extraescolares","Educació | Esport","ajuts i subvencions","","Subvencions a infants i joves entre 6 i 17 anys per a la pràctica esportiva fora d'horari escolar de la ciutat de Barcelona 2018-2019 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona. Districte 1. Ciutat Vella | Barcelona. Districte 2. Eixample | Barcelona. Districte 3. Sants-Montjuïc | Barcelona. Districte 4. Les Corts | Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. Districte 6. Gràcia | Barcelona. Districte 7. Horta-Guinardó | Barcelona. Districte 8. Nou Barris | Barcelona. Districte 9. Sant Andreu | Barcelona. Districte 10. Sant Martí | Barcelona | Barcelona. District 1. Ciutat Vella | Barcelona. District 2. Eixample | Barcelona. District 3. Sants-Montjuïc | Barcelona. District 4. Les Corts | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. District 6. Gràcia | Barcelona. District 7. Horta-Guinardó | Barcelona. District 8. Nou Barris | Barcelona. District 9. Sant Andreu | Barcelona. District 10. Sant Martí | Barcelona | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Distrito 2. Eixample | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. Distrito 4. Les Corts | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. Distrito 6. Gràcia | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. Distrito 8. Nou Barrios | Barcelona. Distrito 9. Sant Andreu | Barcelona. Distrito 10. Sant Martí","","","2015-12-03","2015-12-18","","","Requerides per les Subvencions per a la realització de projectes, activitats i serveis de districte i de ciutat 2016 : convocatòria [http://hdl.handle.net/11703/85236] | Requerides per les Subvencions per a la realització de projectes, activitats i serveis de districte i de ciutat 2018 : convocatòria [http://hdl.handle.net/11703/106683] | Requerides per les Subvencions per a projectes puntuals : artístics, literaris, tecnològics o de qualsevol disciplina cultural que es realitzen durant el 2018 : convocatòria [http://hdl.handle.net/11703/109483] | Requerides per les Subvencions per a la realització de projectes, activitats i serveis de districte i de ciutat 2019 : convocatòria [http://hdl.handle.net/11703/111920] | Requerides per les Subvencions per a la realització de projectes, activitats i serveis de districte i de ciutat 2020 : convocatòria [http://hdl.handle.net/11703/116150]","","","","","application/pdf","12 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (18-12-2015)","","","http://hdl.handle.net/11703/84030","cat","","","","","","","","http://hdl.handle.net/11703/85236 | http://hdl.handle.net/11703/106683 | http://hdl.handle.net/11703/109483 | http://hdl.handle.net/11703/111920 | http://hdl.handle.net/11703/116150","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Activitats culturals | Serveis municipals | Serveis socials | Cultural animation | Municipal services | Human services | Animación cultural | Servicios municipales | Servicios sociales","Economia","ajuts i subvencions","","Subvencions per a la realització de projectes, activitats i serveis de districte i de ciutat 2015 : bases reguladores","","text","info:eu-repo/semantics/other",""
"","","Àrea d'Economia i Treball, Ciutat Digital i Relacions Internacionals | Gerència de Política Econòmica i Desenvolupament Local","","Barcelona | Barcelona | Barcelona","2019","Si","2018-12-24","2019-01-14","","","Aprovades per la Comissió de Govern de 24-12-2018","","Modifica les bases aprovades per la Comissió de Govern de 21-09-2017","","","application/pdf","18 p.","application/pdf","","Exp. núm.: 2017/629B","Gaseta Municipal de Barcelona (14-01-2019)","","Mandat 2015-2019","http://hdl.handle.net/11703/111971","cat","","","","","","","","http://hdl.handle.net/11703/106028","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Ocupació | Aturats | Contractes de treball | Subvencions | Empreses | Employment (Economic theory) | Unemployed | Labor contract | Subsidies | Business enterprises | Empleo | Parados | Contratos de trabajo | Subvenciones públicas | Empresas","Ocupació","ajuts i subvencions","Programa Barcelona amb l'Ocupació de Qualitat 2017-","Bases  reguladores  de les subvencions  que atorga  l'Ajuntament  de Barcelona  a empreses  en el marc  del programa  ""Barcelona  amb l'ocupació de qualitat""","","text","info:eu-repo/semantics/other",""
"","","Consorci de l'Habitatge de Barcelona","","Canyelles (Barcelona : Barri) | Besòs (Barcelona : Barri) | Canyelles (Barcelona : Neighborhood) | Besòs (Barcelona : Neighborhood) | Canyelles (Barcelona : Barrio) | Besòs (Barcelona : Barrio)","2016","Si","2016-12-22","2016-12-28","","","Aprovat per la Gerència del Consorci el 22-12-2016","","","","","application/pdf","1 p.","application/pdf","","","Publicat també al Diari Oficial de la Generalitat de Catalunya, núm. 7276 (29-12-2016) | Butlletí Oficial de la Província de Barcelona (28-12-2016)","consorcis","","http://hdl.handle.net/11703/99595","cat","","","","","","","","http://hdl.handle.net/11703/98368","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Rehabilitació urbana | Habitatges | Urban renewal | Dwellings | Rehabilitación urbana | Viviendas","Habitatge | Urbanisme i infraestructures","ajuts i subvencions","","Subvencions per a la rehabilitació d'edificis d'ús residencial i d'habitatges. Barris de Canyelles i Sud-Oest del Besòs 2016 : convocatòria : modificació","","text","info:eu-repo/semantics/other",""
"","","Àrea de Treball, Economia i Planificació Estratègica | Gerència de Política Econòmica i Desenvolupament Local","","Barcelona | Barcelona | Barcelona","2017","","2017-04-06","2017-04-27","","2017-04-28","Aprovació inicial per la Comissió de Govern de 06-04-2017 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades | Bases requerides pel document Promoció i reforç de l'economia social i solidària 2018 : convocatòria [http://hdl.handle.net/11703/108718]","","","","","application/pdf","2 documents","application/pdf","","","Correccions d'errades: Butlletí Oficial de la Província de Barcelona (22-05-2017) | Butlletí Oficial de la Província de Barcelona (27-04-2017)","","","http://hdl.handle.net/11703/102320","cat","","","","","","","","http://hdl.handle.net/11703/108718","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Economia social | Desenvolupament comunitari | Social economy | Community development | Economía social | Desarrollo comunitario","Societat i benestar | Economia","ajuts i subvencions","Pla d'Impuls de l'Economia Social i Solidària a Barcelona 2016-2019","Promoció i reforç de l'economia social i solidària 2017 : convocatòria i  bases","","text","info:eu-repo/semantics/other",""
"","","Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona)","","Barcelona | Barcelona | Barcelona","2019","Si","2019-04-08","2019-04-12","","","Aprovat per la presidència de l'Institut Municipal del Paisatge Urbà i la Qualitat de Vida el 08-04-2019 | Són d'aplicació a aquesta convocatòria les bases aprovades per Secretaria Delegada de l'Institut Municipal del Paisatge Urbà i la Qualitat de Vida el 29-03-2019 [http://hdl.handle.net/11703/113732]","","","","","application/pdf","26 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (12-04-2019)","organismes autònoms","","http://hdl.handle.net/11703/113743","cat","","","","","","","","","","","http://hdl.handle.net/11703/113732","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Arquitectura del paisatge urbà | Arquitectura del paisaje urbano | Urban landscape | Rehabilitació urbana | Rehabilitación urbana | Urban renewal | Establiments comercials | Comercios | Retail stores | Patrimoni cultural | Patrimonio cultural | Cultural heritage","Urbanisme i infraestructures","ajuts i subvencions","","Ajuts per al foment de la protecció i millora del Paisatge Urbà a la ciutat de Barcelona 2019 : convocatòria","","text","info:eu-repo/semantics/other",""
"","Obert","Gerència de Política Econòmica i Desenvolupament Local","","Barcelona | Barcelona | Barcelona","2019","Si","2019-03-07","2019-03-13","","","Aprovació inicial per la Comissió de Govern de 07-03-2019 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","","","","application/pdf","16 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (13-03-2019)","","","http://hdl.handle.net/11703/117876","cat","","","","","","","","<a href=""http://hdl.handle.net/11703/113788"">Convocatòria 2019</a> | <a href=""http://hdl.handle.net/11703/117872"">Convocatòria 2020</a>","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Economia social | Social economy | Economía social | Desenvolupament comunitari | Community development | Desarrollo comunitario","Economia | Societat i benestar","ajuts i subvencions","Pla d'Impuls de l'Economia Social i Solidària a Barcelona 2016-2019","Promoció i reforç de l'economia social i solidària 2019 : bases","","text","info:eu-repo/semantics/other",""
"","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","2017","Si","2017-03-08","2017-03-28","","2017-03-29","Aprovada per la Comissió Permanent del Consorci de l'Habitatge de Barcelona el 08-03-2017 | Les subvencions d'aquesta convocatòria es regeixen per les Bases Reguladores aprovades per la Junta General del Consorci de l'Habitatge de Barcelona el 17-12-2009 [http://hdl.handle.net/11703/86996]","Modificada per la Comissió Municipal Permanent del Consorci de l'Habitatge el 05-07-2017 [http://hdl.handle.net/11703/105929]","","","","application/pdf","23 p.","application/pdf","","","Diari Oficial de la Generalitat de Catalunya, núm. 7338 (28-03-2017)","consorcis","","http://hdl.handle.net/11703/105928","cat","","","","","","","","http://hdl.handle.net/11703/105929","","","http://hdl.handle.net/11703/86996","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Rehabilitació urbana | Habitatges | Urban renewal | Dwellings | Rehabilitación urbana | Viviendas","Habitatge | Urbanisme i infraestructures","ajuts i subvencions","","Subvencions per a la rehabilitació d'edificis d'ús residencial i d'habitatges 2017 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Institut Municipal d'Hisenda (Barcelona)","","Barcelona | Barcelona | Barcelona","2016","","2016-05-09","2016-05-18","","2016-05-10","Aprovada pel gerent de l'Institut Municipal d'Hisenda el 09-05-2016","","","","","application/pdf","1 p.","application/pdf","","Núm. Reg. 022016008029","Butlletí Oficial de la Província de Barcelona (18-05-2016)","organismes autònoms","","http://hdl.handle.net/11703/97284","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Serveis socials | Famílies monoparentals | Real property tax | Human services | Single-parent family | Impuestos inmobiliarios | Servicios sociales | Familia monoparental","Societat i benestar","ajuts i subvencions","","Subvenció a famílies monoparentals per import equivalent a un percentatge de l'IBI del seu habitatge habitual 2016 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona | Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona)","","Barcelona | Barcelona | Barcelona","1999","","1999-03-05","1999-03-31","","","Aprovat per Decret d'Alcaldia de 27-01-1999","Derogat pel Decret d’Alcaldia de 04-05-2015 de Derogació de les disposicions municipals obsoletes [http://hdl.handle.net/11703/83416]","","","","application/pdf","","application/pdf",19530.0,"","Butlletí Oficial de la Província de Barcelona, núm. 77 (31-03-1999)","organismes autònoms","","http://hdl.handle.net/11703/87069","cat","","","","","","","http://hdl.handle.net/11703/83416","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Rehabilitació urbana | Patrimoni cultural | Urban renewal | Cultural heritage | Rehabilitación urbana | Patrimonio cultural","Urbanisme i infraestructures","ajuts i subvencions","","Campanya municipal per a la protecció i millora del paisatge urbà 1999 :  bases | Procediment regulador del foment de les activitats de la Campanya municipal per a la protecció i millora del paisatge urbà [1999]","","text","info:eu-repo/semantics/other",""
"Anual","","Institut Municipal d'Hisenda (Barcelona)","","Barcelona | Barcelona | Barcelona","2019","Si","2019-03-25","2019-03-29","2019-05-31","2019-04-01","Aprovada pel gerent de l'Institut Municipal d'Hisenda el 25-03-2019 | Requereix les bases aprovades per la Comissió de Govern de 25-07-2012 [http://hdl.handle.net/11703/102425]","","","","","application/pdf","3 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (29-03-2019)","organismes autònoms","","http://hdl.handle.net/11703/113589","cat","","","","","","","","","","","http://hdl.handle.net/11703/102425","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Impuestos inmobiliarios | Real property tax | Serveis socials | Servicios sociales | Human services | Famílies monoparentals | Familia monoparental | Single-parent family","Habitatge | Hisenda | Societat i benestar","ajuts i subvencions","","Subvenció a famílies monoparentals per import equivalent a un percentatge de l'IBI del seu habitatge habitual 2019 : convocatòria","","text","info:eu-repo/semantics/other",""
