"Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud","Web","Notes_Equipament"
"Biblioteca Vapor Vell",3,"Sants-Montjuïc",18.0,"Sants","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.376897256,2.134733614,"http://www.bcn.cat/bibvaporvell",""
"Biblioteca Vila de Gràcia",6,"Gràcia",31.0,"la Vila de Gràcia","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.401467067,2.1582138019999997,"http://www.bcn.cat/bibviladegracia",""
"Biblioteca Vilapicina i la Torre Llobeta",8,"Nou Barris",44.0,"Vilapicina i la Torre Llobeta","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.426885098,2.176452383,"http://www.bcn.cat/bibvilapicina",""
"Biblioteca Xavier Benguerel",10,"Sant Martí",67.0,"la Vila Olímpica del Poblenou","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.392407385,2.197710107,"http://www.bcn.cat/bibxavierbenguerel",""
"Biblioteca Zona Nord",8,"Nou Barris",54.0,"Torre Baró","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.461237425,2.1798757859999998,"http://www.bcn.cat/bibzonanord",""
"Centre Cívic Barceloneta",1,"Ciutat Vella",3.0,"la Barceloneta","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380269123000005,2.19230079,"http://www.bcn.cat/centrecivicbarceloneta",""
"Centre Cívic Baró de Viver",9,"Sant Andreu",58.0,"Baró de Viver","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.448391924,2.199921143,"http://ccivics.bcn.cat/barodeviver",""
"Centre Cívic Besòs",10,"Sant Martí",70.0,"el Besòs i el Maresme","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416306001,2.211478868,"http://ccivics.bcn.cat/besos",""
"Centre Cívic Bon Pastor",9,"Sant Andreu",59.0,"el Bon Pastor","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.434780210999996,2.2049117959999998,"http://www.bcn.cat/ccbonpastor",""
"Centre Cívic Can Basté",8,"Nou Barris",46.0,"el Turó de la Peira","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430458546,2.173212158,"http://canbaste.wordpress.com",""
"Centre Cívic Can Castelló",5,"Sarrià-Sant Gervasi",26.0,"Sant Gervasi - Galvany","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.399005576,2.14016297,"http://ccivics.bcn.cat/cancastello",""
