"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Àrea de Drets Socials","","Barcelona","2015","","2015-09-29","2015","","Presentada al Plenari del Consell Municipal de 29-09- 2015","","","","application/pdf","18 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/83952","cat","","","","","","http://hdl.handle.net/11703/98444","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Asil, Dret d'. Emigració i immigració. Refugiats. Trasllats de població","Demografia","mesures de govern. plans estratègics","Barcelona Ciutat Refugi","Barcelona, ciutat refugi :  mesura de govern","","text",""
"","Àrea d'Habitatge, Urbanisme i Règim Interior. Gerència de Serveis Generals i Coordinació Territorial","","Vallcarca i els Penitents (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2016. 2017. 2018. 2019. 2020. 2015","","2010","2010","","","","","","application/pdf","40 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84998","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur del Barri de Vallcarca i els Penitents 2010-2020 (Barcelona)","Pla de futur del barri de Vallcarca i els Penitents : 2010-2020","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2012. 2013. 2014. 2015","","2012-07-30","2012","","Aprovat el 30-07-2012 amb el suport de CiU, PSC, IpC-EUiA i UxB","","","","application/pdf","60 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85124","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Immigrants. Multiculturalisme. Mercat de treball","Societat i benestar","plans estratègics","Pla d'Immigració de Barcelona 2012-2015","Pla de Treball d'Immigració 2012-2015","Pla d'Immigració de Barcelona 2012-2015","text",""
"","Foment de Ciutat, S.A.","","Trinitat Nova (Barcelona : Barri). Barcelona. Districte 8. Nou Barris","2016. 2017. 2018. 2019. 2020","","2016","2016-07","","Es basa en la Mesura de govern per a la implementació del programa de Pla de Barris contra la desigualtat [http://hdl.handle.net/11703/97374]. Es basa en el document Transformar la ciutat amb la ciutadania : criteris i reflexions per al Pla de Barris de Barcelona [http://hdl.handle.net/11703/101848]. Es basa en la Mesura de govern per al desenvolupament del Pla de Barris de Trinitat Nova [http://hdl.handle.net/11703/98442]","","","","application/pdf","107 p.","","","","societats mercantils","Mandat 2015-","http://hdl.handle.net/11703/98095","cat","","","","","http://hdl.handle.net/11703/97374. http://hdl.handle.net/11703/101848. http://hdl.handle.net/11703/98442","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Infraestructures urbanes. Equipaments col·lectius. Barris","Habitatge. Societat i benestar. Urbanisme i infraestructures","plans estratègics","Pla de Barris de la Trinitat Nova 2016-2020 (Barcelona). Pla de Barris 2016-2026 (Barcelona)","Pla de Barris de la Trinitat Nova","","text",""
"","Àrea de Drets de Ciutadania, Participació i Transparència. Àrea de Treball, Economia i Planificació Estratègica","","Barcelona","2016. 2017. 2018. 2019","Si","2016-01-28","2016-01-28",2020.0,"Document base creat a partir de les aportacions de les diferents gerències municipals, i dels treballadors i les treballadores de tots els àmbits municipals. Aquest document s'ampliarà i concretarà amb les aportacions que es rebin a partir del procés participatiu. Aquest pla s'inicia amb la mesura de govern relativa al procés participatiu per a l'elaboració del Programa d'Actuació Municipal (PAM) i dels Programes d'Actuació dels Districtes (PAD) 2016-2019","","","","application/pdf","134 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/86532","cat","Ajuntament de Barcelona","","","","http://hdl.handle.net/11703/84166","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Política econòmica. Política ambiental. Política pública. Cooperació internacional","Sector públic","plans estratègics","Programa d'Actuació Municipal (PAM) 2016-2019 (Barcelona)","Programa d'Actuació Municipal 2016-2019 [aportacions de gerències i àmbits municipals]","PAM 2016-2019: 73 Barris, una Barcelona: Cap a la ciutat dels drets i les oportunitats","text",""
"","Districte 1. Ciutat Vella","","Barcelona","2006. 2007. 2008","","2006-02","2006","","","","","","application/pdf","21 p.","PAIPI_2006_CV","","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/96365","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social. Immigrants","Societat i benestar","plans estratègics","Pla per a l'Acollida i Integració de les Persones Immigrades al Districte de Ciutat Vella 2005-2006 (Barcelona)","Pla per a l'acollida i integració de les persones immigrades : febrer de 2006","","text",""
"","Regidoria de Participació i Districtes. Calleja-López, Antonio. Linares, Juan. Monterde, Arnau. Barandiaran Fernández, Xabier Eugenio. Pereira de Lucena, Andrés. Direcció de Serveis de Recerca, Desenvolupament i Innovació","","Barcelona","2016. 2017. 2018","","2016-11-14","2016","","","","","","application/pdf","37 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/106289","cas","","","","","","","","","","","","","CC-BY-SA","openAccess","","Ajuntament de Barcelona","https://creativecommons.org/licenses/by-sa/4.0/deed.ca","Participació ciutadana. Comunicacions digitals. Política tecnològica","Sector públic. Societat i benestar. Ciència i tecnologia","plans estratègics","Pla de Desenvolupament Decidim Barcelona 2016-2018","Plan de desarrollo Decidim Barcelona","","text",""
"","Àrea d'Hisenda i Promoció Econòmica. Turisme de Barcelona","","Barcelona","2008. 2009. 2010","","2009","2009","","","","","","application/pdf","11 p.","","","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/85063","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme urbà","Turisme","plans estratègics","Pla Estratègic de Turisme de la Ciutat de Barcelona 2010-2015","Pla Estratègic de Turisme de la Ciutat de Barcelona : maig 2009 [versió en català]","","text",""
"","Comissió de Govern","","Barcelona","2012. 2013. 2014. 2015","No","2012-02-22","2012-02-22","","Aprovat per la Comissió de Govern de 22-02-2012. Aquest full de ruta, on l'equip de govern estableix el marc estratègic i els objectius prioritaris que han de guiar l’acció de govern durant el mandat, és el tret de sortida per a la formulació del Programa d'Actuació Municipal i dels Programes d'Actuació dels Districtes. Aquest Document de Bases s’ha sotmès a un procés de participació ciutadana que es va iniciar el 8 de març i va finalitzar el 3 de maig de 2012.","","","","application/pdf","127 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/102315","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica","Sector públic","plans estratègics","Programa d'Actuació Municipal (PAM) 2012-2015 (Barcelona)","Marc estratègic i full de ruta 2012-2015 : bases per a la formulació del Programa d'Actuació Municipal (PAM)  i dels Programes d'Actuació dels Districtes (PAD)","","text",""
"","Comissió d'Hàbitat Urbà i Medi Ambient. Gerència Adjunta de Medi Ambient i Serveis Urbans. Àrea d'Hàbitat Urbà","","Barcelona","2015. 2016. 2017. 2018","Si","2015","2015-04",2019.0,"","","","","application/pdf","70 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/83944","cat","Ajuntament de Barcelona","","","","Pla d'energia, canvi climàtic i qualitat de l'aire de Barcelona 2011-2020 (PECQ)","http://hdl.handle.net/11703/99264","","","","","","","CC-BY","openAccess","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Contaminació atmosfèrica. Medi ambient","Medi ambient","plans estratègics","Pla per a la Millora de la Qualitat de l'Aire a Barcelona","Pla de millora de la qualitat de l'aire de Barcelona 2015-2018","PMQAB 2015-2018","text",""
"","Àrea de Treball, Economia i Planificació Estratègica. Districte 1. Ciutat Vella. Barcelona Activa, S.A.","","Barcelona. Districte 1. Ciutat Vella","2016. 2017. 2018. 2019. 2020. 2021","","2016","2016","","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/108625. Podeu consultar la mesura de govern del pla estratègic a: http://hdl.handle.net/11703/108062. És base per la versió resum del Pla [http://hdl.handle.net/11703/101685]","","","","application/pdf","60 p.","","","","districtes. societats mercantils","Mandat 2015-","http://hdl.handle.net/11703/97961","cat","","http://hdl.handle.net/11703/108625. http://hdl.handle.net/11703/108062","","","","http://hdl.handle.net/11703/101685","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 1. Ciutat Vella. Política laboral. Política econòmica. Política social. Comerç. Turisme urbà","Economia","plans estratègics","Pla de Desenvolupament Econòmic Ciutat Vella 2016-2021 (Barcelona)","Pla de Desenvolupament Econòmic Ciutat Vella 2016-2021","","text",""
"","Districte 3. Sants-Montjuïc","","Barcelona. Districte 3. Sants-Montjuïc","2004. 2005. 2006. 2007","","2004-03-03","2004-03-03","","Aprovat pel Plenari de Consell Municipal del Districte de 03-03-2004","","","","application/pdf","23 p.","","","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/102222","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Ordenació del territori. Rehabilitació urbana. Espais públics. Política ambiental. Mobilitat urbana. Política pública","Sector públic","plans estratègics","Programa d'Actuació del Districte de Sants-Montjuïc (PAD) 2004-2007 (Barcelona)","Pla d'Actuació Municipal del Districte de Sants-Montjuïc 2004-2007","","text",""
"","Direcció d'Espais Verds i Biodiversitat. Àrea d'Hàbitat Urbà","","Barcelona","2014. 2015. 2016. 2017. 2018. 2019","","2014-04-30","2014","","Presentada a la Comissió d'Hàbitat Urbà i Medi Ambient de 30-04-2014. Citada a la Gaseta Municipal núm. 21 (10-07-2014)","","","","application/pdf","21 p.","17586","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84779","cat","Ajuntament de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Parcs infantils","Urbanisme i infraestructures","mesures de govern. plans estratègics","Pla de Racons Infantils 2014-2019 (Barcelona)","Pla de Racons Infantils 2014-2019 : Actuacions preliminars 2014-2015 : mesura de govern","","text",""
"","Comissió d'Equilibri Territorial i Planejament Urbà","","Barcelona. Barcelona. Districte 1. Ciutat Vella. Barcelona. Districte 2. Eixample. Barcelona. Districte 3. Sants-Montjuïc. Barcelona. Districte 4. Les Corts. Barcelona. Districte 5. Sarrià-Sant Gervasi. Barcelona. Districte 6. Gràcia. Barcelona. Districte 7. Horta-Guinardó. Barcelona. Districte 8. Nou Barris. Barcelona. Districte 9. Sant Andreu. Barcelona. Districte 10. Sant Martí","1996. 1997. 1998. 1999","","1996-03-15","1996-03-15","","Aprovat inicialment pel Plenari del Consell Municipal de  22-12-1995. Aprovat definitivament pel Plenari del Consell Municipal de 15-03-1996","","Digitalitzat pel SEDAC","","application/pdf","96 p.","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/102272","cat","","","","","","","Reproducció digital del document  en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Ordenació del territori. Rehabilitació urbana. Infraestructures urbanes. Política econòmica. Política social. Política esportiva. Política educativa. Política d'ocupació. Política turística. Política ambiental. Política pública. Política cultural. Política de transports. Seguretat ciutadana. Política de l'habitatge. Finances municipals","Sector públic","plans estratègics. documents digitalitzats","Programa d'Actuació Municipal (PAM) 1996-1999 (Barcelona)","Programa d'Actuació Municipal 1996-1999","","text",""
"","Gerència de Serveis Generals i Coordinació Territorial. Àrea d'Habitatge, Urbanisme i Règim Interior","","Torre Baró (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2010","2010","","","","","","application/pdf","18 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85018","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur de Torre Baró 2010-2020 (Barcelona)","Pla de futur de Torre Baró : 2010-2020","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2015","","2015-03-17","2015","","Presentat a la Comissió de Qualitat de Vida, Igualtat, Joventut i Esports del 17-03-2015","","","","application/pdf","77 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85150","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Infants. Adolescents. Política de la joventut","Societat i benestar","plans estratègics","Programa Municipal per a la Infància i l'Adolescència 2013-2016 (Barcelona). Pla d'Adolescència i Joventut 2013-2016 (Barcelona)","Pla d'Adolescència i Joventut 2013-2016 : pla d'accions 2015","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports. Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts","2009. 2010. 2011. 2012","","2012-03-01","2012","","Presentada al plenari del districte de Les Corts de març de 2012","","","","application/pdf","16 p.","12250","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/96321","cat","Ajuntament de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drogoaddicció. Drogues i joventut. Alcoholisme","Salut","mesures de govern. plans estratègics","Pla d'Acció sobre Drogues de Barcelona 2009-2012","Pla d'actuació per a la prevenció del consum d'alcohol i d'altres substàncies addictives entre els adolescents al districte de les Corts : mesura de govern","","text",""
"","Sector de Serveis Personals. Regidoria de Benestar Social","","Barcelona","2005. 2006. 2007. 2008. 2009. 2010","","2005","2005","","Podeu consultar la versió en en castellà a: http://hdl.handle.net/11703/84943","","","Inclou resum del Pla en castellà i en anglès","application/pdf","84 p.","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/105922","cat","","http://hdl.handle.net/11703/84943","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política social","Societat i benestar","plans estratègics. documents digitalitzats","Pla Municipal per a la Inclusió Social 2005-2010 (Barcelona)","Barcelona Inclusiva : 2005-2010 : Pla Municipal per a la Inclusió Social : 6 línies estratègiques i 37 accions","","text",""
