"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdescriptionversion","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 48"
"","","Àrea de Drets de Ciutadania, Participació i Transparència | Departament de Feminismes i LGTBI | Garaizabal, Cristina | Mas Grau, Jordi | Almirall, Rosa | Vega, Soraya | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2016","2016-04","Podeu consultar una altra versió del document en català a: http://hdl.handle.net/11703/97338 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/105919 | Podeu consultar la versió en català a: http://hdl.handle.net/11703/113868 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/105920","","","","","application/pdf","76 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/105920","eng","","http://hdl.handle.net/11703/97338 | http://hdl.handle.net/11703/105919 | http://hdl.handle.net/11703/113868 | http://hdl.handle.net/11703/105920","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Transsexuals | Serveis sanitaris | Transsexuals | Health services | Transexuales | Servicios de salud","Societat i benestar | Salut | Pla Municipal per la Diversitat Sexual i de Gènere 2016-2020 (Barcelona)","informes altres","Pla Municipal per la Diversitat Sexual i de Gènere 2016-2020 (Barcelona)","Report on support and assistance model for trans people in the city of Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Recursos | Fresnillo Sallan, Iolanda | Gimenez, Itziar | Huguet, Noel | Covelo, Elisa | Cooperativa Ekona | Departament de Transversalitat de Gènere","","Barcelona | Barcelona | Barcelona","2016","","2016-12","2017-05","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/106897","","","","","application/pdf","123 p.","application/pdf","","","","","","http://hdl.handle.net/11703/106896","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/106897","","","","","","","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Cooperativa Ekona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Igualtat entre els sexes | Política fiscal | Impostos | Preus | Gender equality | Fiscal policy | Taxation | Pricing | Igualdad de género | Política fiscal | Impuestos | Precios","Economia | Societat i benestar","","","Informe d'impacte de gènere dels tributs i els preus públics de l'Ajuntament de Barcelona","","info:eu-repo/semantics/other","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona | Barcelona Regional Agència de Desenvolupament Urbà, S.A. | Institut Cartogràfic i Geològic de Catalunya","Montlleó, Marc | Palma, Marçal | Cirera, Jacob","Barcelona | Barcelona | Barcelona","","","2015-11","2015-11","Sol·licitant de l’informe: Ajuntament de Barcelona","","","","","application/pdf","55 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/106076","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Zones verdes | Imatges satel·litàries | Cartografia | Open spaces | Remote-sensing images | Cartography | Zonas verdes | Imágenes satelitales | Cartografía","Medi ambient | Urbanisme i infraestructures","informes altres","Pla del Verd i la Biodiversitat de Barcelona 2012-2020","Primera identificació de la infraestructura verda de Barcelona a partir de l’índex NDVI","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Activa, S.A. | Leitat Technological Center","Direcció d'Estudis d'Activitats Econòmiques i Ocupació","Barcelona | Barcelona | Barcelona","","","2010-01","2010-01","A la portada: Capital humà","","","","","application/pdf","18 p.","application/pdf","9113","","societats mercantils","","","http://hdl.handle.net/11703/90922","cat","Barcelona Activa, S.A.","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Energies alternatives | Indústries energètiques | Renewable energy sources | Energy industries | Recursos energéticos renovables | industria energética","Energia","informes altres","","Informe sectorial: energies renovables","Energies renovables: informe sectorial","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Activa, S.A.","Mercabarna, S.A.","Barcelona | Barcelona | Barcelona","","","2013","2013","A la portada: Barcelona Treball","","","","","application/pdf","28 p.","application/pdf","17452","","societats mercantils","","","http://hdl.handle.net/11703/91178","cat","Barcelona Activa, S.A.","http://hdl.handle.net/11703/90936","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Indústria agroalimentària | Agricultural processing industries | Industria agroalimentaria","Economia","informes altres","","Indústria agroalimentària: informe sectorial 2013","Informe sectorial: indústria agroalimentària","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2017","","2018","2018","","","","","","application/pdf","101 p.","application/pdf","","","","","","http://hdl.handle.net/11703/113579","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Igualtat retributiva | Igualdad salarial | Pay equity | Igualtat entre els sexes | Igualdad de género | Gender equality | Pressupostos municipals | Presupuestos municipales | Municipal budgets | Salaris | Salarios | Wages","Economia | Ocupació","informes altres","","Informe d’impacte de gènere del pressupost 2017. Anàlisi preliminar","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gabinet Tècnic de Programació | Oficina Municipal de Dades","","Barcelona | Barcelona | Barcelona","","","2018","2018","","","","","","application/pdf","21 p.","application/pdf","","","","","","http://hdl.handle.net/11703/109267","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Empreses | Cultura | Business enterprises | Culture | Empresas | Cultura","Economia","informes altres","","El valor afegit de les empreses culturals Barcelona 2010-2015","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea de Medi Ambient i Serveis Urbans | Gerència d'Ecologia, Urbanisme i Mobilitat | Barcelona Cicle de l'Aigua, S.A.","","Barcelona | Barcelona | Barcelona","","","2015","2015-03","","","","Conté taules amb informació sobre consum d'aigua","","application/pdf","50 p.","application/pdf","","","societats mercantils","","","http://hdl.handle.net/11703/97788","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Recursos hidràulics | Aigua | Water resources development | Water | Explotación de recursos hidráulicos | Agua","Medi ambient","informes altres","","El consum d'aigua a Barcelona: l'aprofitament i els usos dels recursos hídrics: informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Consell Econòmic i Social de Barcelona","","Barcelona | Barcelona | Barcelona","2012","","2013","2013","","","","","","application/pdf","15 p.","application/pdf","13750","","consells","","","http://hdl.handle.net/11703/86794","cat","Consell Econòmic i Social de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Atur | Mercat de treball | Unemployment | Labor market | Paro | Mercado de trabajo","Societat i benestar | Ocupació","informes altres","","L'Atur als barris de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Sector de Promoció Econòmica | Institut Municipal de Mercats (Barcelona)","","Barcelona | Barcelona | Barcelona","","","2008","2008","La data de publicació d’aquest document és inexacta, s’ha escollit una data aproximada, tenint en compte, la dècada de la possible publicació.","","","","","application/pdf","36 p.","application/pdf","PAM2008_MER_PRESEN","","organismes autònoms","","","http://hdl.handle.net/11703/111725","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Mercats | Strategic planning | Markets | Planificación estratégica | Mercados","Comerç | Sector públic","informes altres","Programa d'Actuació Municipal (PAM) 2008-2011 (Barcelona)","Situació actual i perspectives dels mercats municipals de Barcelona [versió presentació]","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gabinet Tècnic de Programació | Gerència Adjunta de Projectes Estratègics","","Barcelona | Barcelona | Barcelona","2013","","2014","2014","Podeu consultar la versió en català a: http://hdl.handle.net/11703/110953","","","","","application/pdf","63 p.","application/pdf","","","","","","http://hdl.handle.net/11703/110960","eng","Ajuntament de Barcelona","http://hdl.handle.net/11703/110953","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Indicadors socials | Indicadors econòmics | Social indicators | Economic indicators | Indicadores sociales | Indicadores económicos","Sector públic","informes altres | revistes i anuaris | estadístiques i indicadors","","Barcelona 2013 : presentation of Barcelona","Presentation of Barcelona","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Consell Econòmic i Social de Barcelona","","Barcelona | Barcelona | Barcelona","2015 | 2016","","2016-09-23","2016","Informe aprovat per la Comissió Executiva del Consell Econòmic i Social de Barcelona de 23-09-2016 | Podeu consultar la versió en català a: http://hdl.handle.net/11703/99139","","","","","application/pdf","39 p.","application/pdf","","","consells","","","http://hdl.handle.net/11703/117099","spa","Consell Econòmic i Social de Barcelona","http://hdl.handle.net/11703/99139","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Venda ambulant | Peddling | Comercio ambulante | Immigrants | Immigrants | Emigrantes","Comerç | Societat i benestar","informes altres","","La venta irregular en la calle : informe","","text","info:eu-repo/semantics/report",""
"","","Barcelona Activa, S.A.","Facultat de Comunicació Blanquerna","Barcelona | Barcelona | Barcelona","","","2013","2013","A la portada: Barcelona Treball","","","","","application/pdf","23 p.","application/pdf","17483","","societats mercantils","","","http://hdl.handle.net/11703/90036","cat","Barcelona Activa, S.A.","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Educació | Education | Educación","Educació","informes altres","","Educació: informe sectorial 2013","Informe sectorial: educació","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Cicle de l'Aigua, S.A.","","Barcelona | Barcelona | Barcelona","2018","","2018-10-14","2018-10-15","","","","","","application/pdf","3 p.","application/pdf","","","societats mercantils","","","http://hdl.handle.net/11703/111292","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Barcelona Cicle de l'Aigua, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Dipòsits d'aigua | Aigua de pluja | Water tanks | Rain-water | Depósitos de agua | Agua de lluvia","Medi ambient | Urbanisme i infraestructures","informes altres","","Informe de pluja i dipòsits [versió resumida] : període del 14 d'octubre al 15 d'octubre de 2018","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona | Artazcoz Lazcano, Lucía | Juárez-Martínez, Olga | Pasarín Rúa, Maria Isabel | Pérez, Catherine | Pérez, Glòria | Salvador, María | Garrido, Amaia","","Barcelona | Barcelona | Barcelona","","","2019","2019","","","","","","application/pdf","38 p.","application/pdf","","","","","","http://hdl.handle.net/11703/116605","cat","","","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Violència envers les dones | Violencia contra las mujeres | Violence against women | Salut pública | Salud pública | Public health","Salut","informes altres","","Violència masclista en l'àmbit de la parella des d'una perspectiva de salut pública : anàlisi de situació a Barcelona","","text","info:eu-repo/semantics/report",""
"","","Regidoria de Feminismes i LGTBI | Gerència de Recursos | Departament de Transversalitat de Gènere | Ruiz de Infante, Begoña | Qu, Sushan","","Barcelona | Barcelona | Barcelona","2018","","2018-05","2018-05","Sol·licitant de l’informe: Regidoria de Feminismes i LGTBI | Podeu consultar la versió en xinès a: http://hdl.handle.net/11703/111056 | Podeu consultar la versió completa a: http://hdl.handle.net/11703/111372","","","","","application/pdf","13 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111057","spa","","http://hdl.handle.net/11703/111056","","","","","","http://hdl.handle.net/11703/111372","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Dones | Cultura xinesa | Participació ciutadana | Women | Chinese culture | Citizen participation | Mujeres | Cultura china | Participación ciudadana","Societat i benestar","informes altres","Pla per la Justícia de Gènere 2016-2020 (Barcelona) | Estratègia contra la Feminització de la Pobresa i la Precarietat a Barcelona 2016-2024 (Barcelona)","Barcelonesas de contexto cultural chino : retos y oportunidades para la ciudad : resumen ejecutivo","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
